Film_ID,Film_Title,Title_ID,Title_Name,Theatrical_Release_Date,Film_Runtime,Language,Market_Language,Release_Pattern,Performance_Type,Is_IMAX,Is_DBOX_Capable,Release_Status,Media_Class_Description,Is_4Dx,Genre_Hierarchy_1
32755,Stanley Cup Playoffs: Vegas @ Vancouver Game 6,35106,Stanley Cup Playoffs: Vegas @ Vancouver Game 4,9/3/2020,180,English,English,Ltd,Sporting Event,0,0,B,None,0,Unknown
32754,Stanley Cup Playoffs: Vancouver @ Vegas Game 5,35106,Stanley Cup Playoffs: Vegas @ Vancouver Game 4,9/1/2020,180,English,English,Ltd,Sporting Event,0,0,B,None,0,Unknown
32753,Elvis: That's The Way It Is (Special Edition),35113,Elvis: That's The Way It Is (Special Edition),9/11/2020,94,English,English,Ltd,Concert,0,0,B,Adult,0,Musical
32752,Femmes d?Argentine (Espagnol avec s.t.f.),34682,Let It Be Law (Spanish w/e.s.t.),8/28/2020,90,Spanish,French,Ltd,Film Presentation,0,0,B,Adult,0,Documentary
32751,Men In Black - Flashback Film Series,20566,Men In Black - Epic Summer on the Event SCreen,9/11/2020,98,English,English,Ltd,Alt Prog Film Event,0,0,B,Adult,0,Comedy
32750,Save Yourselves!,35111,Save Yourselves!,10/2/2020,93,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32749,The Nest,35110,The Nest,9/18/2020,107,English,English,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32748,Wild Grass (Mandarin w/e.s.t.),35109,Wild Grass (Mandarin w/e.s.t.),9/10/2020,112,Mandarin,English,Wide,Film Presentation,0,0,B,Adult,0,Drama
32747,Une nuit au Louvre: Leonard de Vinci,35108,A Night At The Louvre: Leonardo Da Vinci (French and English w/e.s.t.),9/11/2020,96,French,French,Ltd,Documentary,0,0,B,Adult,0,Documentary
32746,A Night At The Louvre: Leonardo Da Vinci (French and English w/e.s.t.),35108,A Night At The Louvre: Leonardo Da Vinci (French and English w/e.s.t.),9/11/2020,96,French,English,Ltd,Documentary,0,0,B,Adult,0,Documentary
32745,Coriolanus - National Theatre Live ENCORE,21450,Coriolanus - National Theatre Live ENCORE,11/27/2020,179,English,English,Ltd,Stage Performance,0,0,B,Adult,0,Drama
32744,No Man's Land - National Theatre Live ENCORE,22544,No Man's Land - National Theatre Live,11/13/2020,165,English,English,Ltd,Stage Performance,0,0,B,Adult,0,Drama
32743,Caesar & Cleopatra ? Stratford Festival On Film ENCORE,16918,Caesar & Cleopatra ? Stratford Festival On Film,11/6/2020,132,English,English,Ltd,Stage Performance,0,0,B,Family,0,Comedy
32742,Frankenstein - Benedict Cumberbatch as The Creature ? National Theatre Live ENCORE,17930,Frankenstein - National Theatre (2011),10/16/2020,129,English,English,Ltd,Stage Performance,0,0,B,Adult,0,Drama
32741,King Lear - National Theatre Live ENCORE,24374,King Lear - National Theatre Live,10/2/2020,228,English,English,Ltd,Stage Performance,0,0,B,Adult,0,Drama
32740,Fleabag - National Theatre Live ENCORE,34028,Fleabag - National Theatre Live,9/11/2020,91,English,English,Ltd,Stage Performance,0,0,B,Adult,0,Adaptation
32739,Toronto Raptors: Toronto @ Boston Game 4,35105,Toronto Raptors: Boston @ Toronto Game 2,9/5/2020,180,English,English,Ltd,Sporting Event,0,0,B,None,0,Unknown
32738,Toronto Raptors: Toronto @ Boston Game 3,35105,Toronto Raptors: Boston @ Toronto Game 2,9/3/2020,180,English,English,Ltd,Sporting Event,0,0,B,None,0,Unknown
32737,Toronto Raptors: Boston @ Toronto Game 2,35105,Toronto Raptors: Boston @ Toronto Game 2,8/31/2020,180,English,English,Ltd,Sporting Event,0,0,B,None,0,Unknown
32736,Stanley Cup Playoffs: Vegas @ Vancouver Game 4,35106,Stanley Cup Playoffs: Vegas @ Vancouver Game 4,8/31/2020,180,English,English,Ltd,Sporting Event,0,0,B,None,0,Unknown
32735,The Curse of Audrey Earnshaw ,35107,The Curse of Audrey Earnshaw ,10/9/2020,94,English,English,Ltd,Alt Prog Film Event,0,0,B,Adult,0,Horror
