CINEPLEX_D_Membership_ID,Visit_Date_count,Visit_Date_min,Visit_Date_max,Visit_Date_Week_min,Visit_Date_Week_max,Visit_TimeSlice_ID_min,Visit_TimeSlice_ID_mean,Visit_TimeSlice_ID_mode,Visit_TimeSlice_ID_max,TimeSlice_ID_mean,TimeSlice_ID_max,TimeSlice_ID_mode,Location_ID_nunique,Location_ID_mode,City_nunique,City_mode,Auditorium_Experience_ID_nunique,Auditorium_Experience_ID_mode,Seating_Experience_ID_nunique,Seating_Experience_ID_mode,Sales_Channel_ID_nunique,Sales_Channel_ID_mode,Performance_Experience_ID_nunique,Performance_Experience_ID_mode,Performance_Type_ID_nunique,Performance_Type_ID_mode,Film_ID_nunique,Film_ID_mode,Film_Runtime_mean,Film_Runtime_max,Is_VIP_mean,Is_VIP_max,Language_mode,Genre_Hierarchy_1_nunique,Genre_Hierarchy_1_mode,Spend_min,Spend_mean,Spend_max,Spend_sum,Discount_mean,Has_US_Is_LrgPopcorn_sum,Has_US_Is_LrgPopcorn_mean,Has_US_Is_LrgPopcorn_max,Has_US_Is_Butter_sum,Has_US_Is_Butter_mean,Has_US_Is_Butter_max,Has_US_Is_Alcohol_sum,Has_US_Is_Alcohol_mean,Has_US_Is_Alcohol_max,Has_US_Is_Candy_sum,Has_US_Is_Candy_mean,Has_US_Is_Candy_max,Has_US_Is_Kiddietray_sum,Has_US_Is_Kiddietray_mean,Has_US_Is_Kiddietray_max,Has_US_Is_Voucher_sum,Has_US_Is_Voucher_mean,Has_US_Is_Voucher_max,Has_US_Is_MenuFood_sum,Has_US_Is_MenuFood_mean,Has_US_Is_MenuFood_max,Has_US_Is_Coffee_sum,Has_US_Is_Coffee_mean,Has_US_Is_Coffee_max,CINEPLEX_Item_ID_count,CINEPLEX_Item_ID_nunique,CINEPLEX_Item_ID_mode,CINEPLEX_Item_Description_mode,US_Is_LrgPopcorn_sum,US_Is_LrgPopcorn_mean,US_Is_Butter_sum,US_Is_Butter_mean,US_Is_Alcohol_sum,US_Is_Alcohol_mean,US_Is_Candy_sum,US_Is_Candy_mean,US_Is_Kiddietray_sum,US_Is_Kiddietray_mean,US_Is_Voucher_sum,US_Is_Voucher_mean,US_Is_MenuFood_sum,US_Is_MenuFood_mean,US_Is_Coffee_sum,US_Is_Coffee_mean
3175526,48,2019-01-02,2019-12-30,0,52,9,20.66666667,21,28,20.66666667,28,21,5,7199,1,Toronto,5,1,4,1,3,12,5,1,3,1,42,0,103.2083333,182,0.625,1,English,9,Drama,0,36.909375,255.5,1771.65,4.101875,3,0.0625,1,1,0.020833333,1,0,0,0,15,0.3125,1,13,0.270833333,1,0,0,0,2,0.041666667,1,9,0.1875,1,311,30,0,<Unknown>,3,0.009646302,1,0.003215434,0,0,31,0.099678457,21,0.067524116,0,0,3,0.009646302,9,0.028938907
2336503,48,2019-01-14,2019-12-30,2,52,15,22.47916667,21,27,22.47916667,27,21,3,1422,1,Vancouver,4,1,4,1,2,8,4,1,2,1,48,0,113.0833333,182,0,0,English,8,Drama,7.29,24.833125,56.5,1191.99,2.757083333,0,0,0,9,0.1875,1,0,0,0,1,0.020833333,1,0,0,0,0,0,0,3,0.0625,1,2,0.041666667,1,165,18,0,<Unknown>,0,0,9,0.054545455,0,0,1,0.006060606,0,0,0,0,3,0.018181818,2,0.012121212
8265550,47,2019-01-04,2019-12-29,0,52,27,34.23404255,33,40,34.23404255,40,33,2,1136,2,Surrey,3,1,5,1,4,8,3,1,2,1,32,0,89.46808511,155,0,0,English,8,Unknown,0,22.15978723,86.18,1041.51,2.463404255,9,0.191489362,1,9,0.191489362,1,0,0,0,12,0.255319149,1,4,0.085106383,1,0,0,0,3,0.063829787,1,0,0,0,155,26,0,<Unknown>,9,0.058064516,9,0.058064516,0,0,13,0.083870968,5,0.032258065,0,0,4,0.025806452,0,0
6069713,44,2019-01-01,2019-12-31,0,52,16,25.70454545,21,34,25.70454545,34,21,7,7298,3,Toronto,4,1,5,1,3,8,4,1,2,1,42,0,110.5,169,0.068181818,1,English,10,Adaptation,0,25.20931818,67.7,1109.21,2.800909091,0,0,0,0,0,0,2,0.045454545,1,10,0.227272727,1,0,0,0,0,0,0,9,0.204545455,1,0,0,0,147,33,0,<Unknown>,0,0,0,0,2,0.013605442,11,0.074829932,0,0,0,0,13,0.088435374,0,0
9904374,44,2019-04-09,2019-12-18,14,50,33,35.75,34,39,35.75,39,34,3,3142,2,Calgary,3,0,4,0,2,8,3,0,2,0,19,0,64.13636364,182,0,0,<None>,8,Unknown,0,24.04545455,57.9,1058,2.673863636,27,0.613636364,1,24,0.545454545,1,0,0,0,24,0.545454545,1,0,0,0,0,0,0,1,0.022727273,1,0,0,0,233,19,93853,VHO CORN - BUTTER - LARGE,30,0.128755365,59,0.253218884,0,0,29,0.124463519,0,0,0,0,2,0.008583691,0,0
2539882,44,2019-01-04,2019-12-29,0,52,8,24.5,32,33,24.5,33,32,10,7199,3,Toronto,7,1,4,1,1,8,6,1,3,1,36,0,92.36363636,182,0.75,1,English,6,Drama,0,21.40568182,73,941.85,2.380227273,15,0.340909091,1,30,0.681818182,1,1,0.022727273,1,4,0.090909091,1,0,0,0,0,0,0,2,0.045454545,1,0,0,0,179,28,0,<Unknown>,15,0.083798883,44,0.245810056,1,0.005586592,4,0.022346369,0,0,0,0,2,0.011173184,0,0
1624903,44,2019-01-05,2019-12-24,0,51,11,21.93181818,23,33,21.93181818,33,23,3,2112,1,Winnipeg,1,1,2,1,2,8,1,1,1,1,44,21746,114.7272727,182,0.113636364,1,English,8,Action,0,4.714318182,18.98,207.43,0.523181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022727273,1,0,0,0,49,3,0,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,1,0.020408163,0,0
838197,44,2019-01-04,2019-12-27,0,51,19,26.70454545,27,29,26.70454545,29,27,1,7407,1,East Gwillimbury,2,1,2,1,2,8,2,1,1,1,44,21676,115.7727273,182,0,0,English,9,Adaptation,0,5.942045455,19.87,261.45,0.660909091,1,0.022727273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.568181818,1,0,0,0,80,8,0,<Unknown>,1,0.0125,0,0,0,0,0,0,0,0,0,0,25,0.3125,0,0
3887021,43,2019-01-03,2019-12-21,0,50,14,24.11627907,28,34,24.11627907,34,28,9,1405,7,Langley,4,3,3,2,3,6,3,3,1,1,35,21683,121.255814,182,0.069767442,1,English,7,Adaptation,6.43,43.29325581,239.88,1861.61,4.823255814,4,0.093023256,1,3,0.069767442,1,0,0,0,5,0.11627907,1,0,0,0,0,0,0,1,0.023255814,1,0,0,0,240,19,0,<Unknown>,4,0.016666667,3,0.0125,0,0,7,0.029166667,0,0,0,0,1,0.004166667,0,0
464766,42,2019-01-05,2019-12-29,0,52,14,26.19047619,31,36,26.19047619,36,31,6,3141,4,Edmonton,4,1,4,1,3,12,4,1,2,1,40,0,116.8809524,182,0,0,English,9,Drama,0,24.63690476,55.66,1034.75,2.734285714,28,0.666666667,1,24,0.571428571,1,0,0,0,29,0.69047619,1,0,0,0,0,0,0,5,0.119047619,1,0,0,0,188,25,0,<Unknown>,28,0.14893617,26,0.138297872,0,0,29,0.154255319,0,0,0,0,6,0.031914894,0,0
2913296,40,2019-01-02,2019-12-27,0,51,26,31.6,32,40,31.6,40,32,3,1144,3,Chilliwack,3,1,4,1,2,8,3,1,2,1,34,0,100.95,182,0.05,1,English,7,Drama,5.57,10.1835,37.82,407.34,1.13225,0,0,0,0,0,0,0,0,0,17,0.425,1,17,0.425,1,0,0,0,0,0,0,0,0,0,98,8,0,<Unknown>,0,0,0,0,0,0,18,0.183673469,18,0.183673469,0,0,0,0,0,0
2327754,40,2019-01-02,2019-12-28,0,51,11,24.775,28,33,24.775,33,28,7,7253,2,Toronto,6,1,4,1,3,12,5,1,4,1,29,0,105.8,182,0.175,1,English,9,Adaptation,4.49,37.5065,103.1,1500.26,4.16875,20,0.5,1,24,0.6,1,0,0,0,2,0.05,1,0,0,0,0,0,0,6,0.15,1,0,0,0,246,21,0,<Unknown>,24,0.097560976,37,0.150406504,0,0,2,0.008130081,0,0,0,0,8,0.032520325,0,0
7536366,39,2019-01-05,2019-12-30,0,52,25,28.28205128,28,32,28.28205128,32,28,3,7400,1,Toronto,4,1,4,1,1,8,3,1,2,1,39,0,117.6923077,182,0.794871795,1,English,8,Drama,12.17,43.45538462,86.41,1694.76,4.832051282,11,0.282051282,1,4,0.102564103,1,0,0,0,6,0.153846154,1,0,0,0,0,0,0,12,0.307692308,1,0,0,0,235,28,0,<Unknown>,12,0.05106383,5,0.021276596,0,0,8,0.034042553,0,0,0,0,18,0.076595745,0,0
3238036,38,2019-01-05,2019-12-17,0,50,19,23.39473684,21,29,23.39473684,29,21,3,3401,1,Calgary,2,1,3,1,3,12,2,1,1,1,38,21746,120.4210526,182,0,0,English,5,Drama,0,19.58026316,42.2,744.05,2.183947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,7,0,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3713573,38,2019-01-08,2019-12-17,1,50,15,19.68421053,21,22,19.68421053,22,21,3,9177,3,St. Foy,4,1,4,2,2,12,4,1,2,1,37,0,113.3684211,182,0,0,French,9,Action,0,13.84184211,29.39,525.99,1.538421053,25,0.657894737,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026315789,1,5,0.131578947,1,0,0,0,111,9,0,<Unknown>,25,0.225225225,0,0,0,0,0,0,0,0,1,0.009009009,6,0.054054054,0,0
2578931,38,2019-01-15,2019-12-28,2,51,18,32.13157895,32,40,32.13157895,40,32,5,1422,2,Vancouver,3,1,4,1,3,8,3,1,2,1,26,0,79.07894737,182,0,0,English,7,Unknown,0,16.92789474,42.19,643.26,1.881315789,3,0.078947368,1,4,0.105263158,1,0,0,0,2,0.052631579,1,0,0,0,0,0,0,0,0,0,0,0,0,107,14,0,<Unknown>,3,0.028037383,4,0.037383178,0,0,2,0.018691589,0,0,0,0,0,0,0,0
9153421,37,2019-01-18,2019-12-26,2,51,17,31.59459459,33,39,31.59459459,39,33,3,1137,3,Kamloops,4,1,4,1,3,8,4,1,3,1,29,0,95.45945946,182,0.054054054,1,English,7,Comedy,0,37.35648649,97.53,1382.19,4.152432432,3,0.081081081,1,1,0.027027027,1,1,0.027027027,1,21,0.567567568,1,1,0.027027027,1,0,0,0,7,0.189189189,1,1,0.027027027,1,235,34,0,<Unknown>,4,0.017021277,2,0.008510638,1,0.004255319,29,0.123404255,2,0.008510638,0,0,13,0.055319149,1,0.004255319
3004579,36,2019-01-08,2019-12-17,1,50,13,14.91666667,14,21,14.91666667,21,14,5,9185,5,Brossard,3,1,3,1,2,12,2,1,1,1,36,28491,118.3888889,169,0.583333333,1,French,6,Drama,0,22.52916667,59.99,811.05,2.505833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.027777778,1,0,0,0,131,10,0,<Unknown>,0,0,0,0,0,0,0,0,0,0,0,0,2,0.015267176,0,0
1307741,35,2019-01-08,2019-12-17,1,50,18,23.28571429,24,25,23.28571429,25,24,1,7266,1,Sault Ste. Mari,1,1,2,1,1,8,1,1,1,1,33,27641,119.9428571,169,0,0,English,7,Adaptation,0,7.934,21.51,277.69,0.880857143,0,0,0,4,0.114285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,8,0,<Unknown>,0,0,7,0.112903226,0,0,0,0,0,0,0,0,0,0,0,0
4526095,35,2019-01-02,2019-12-12,0,49,22,32.28571429,29,37,32.28571429,37,29,2,4114,1,Regina,3,0,3,0,2,8,3,0,2,0,6,0,23.8,182,0,0,<None>,4,Unknown,4.99,17.93971429,46.92,627.89,1.994,17,0.485714286,1,28,0.8,1,0,0,0,9,0.257142857,1,0,0,0,0,0,0,2,0.057142857,1,0,0,0,160,22,93853,VHO CORN - BUTTER - LARGE,18,0.1125,55,0.34375,0,0,9,0.05625,0,0,0,0,2,0.0125,0,0
5415623,34,2019-01-03,2019-12-26,0,51,12,26.94117647,33,33,26.94117647,33,33,4,5145,3,Halifax,4,1,4,1,4,8,4,1,4,1,23,0,94.08823529,184,0,0,English,9,Unknown,0,20.76382353,56.52,705.97,2.309705882,3,0.088235294,1,0,0,0,0,0,0,6,0.176470588,1,1,0.029411765,1,1,0.029411765,1,1,0.029411765,1,0,0,0,107,16,0,<Unknown>,3,0.028037383,0,0,0,0,6,0.056074766,1,0.009345794,1,0.009345794,2,0.018691589,0,0
1113632,34,2019-01-04,2019-12-25,0,51,14,30.41176471,27,40,30.41176471,40,27,6,1145,4,Vancouver,5,1,4,1,4,8,4,1,2,1,27,0,102.4117647,182,0.617647059,1,English,9,Action,5.19,32.24323529,174.18,1096.27,3.584705882,5,0.147058824,1,4,0.117647059,1,0,0,0,8,0.235294118,1,0,0,0,0,0,0,6,0.176470588,1,0,0,0,141,24,0,<Unknown>,5,0.035460993,5,0.035460993,0,0,8,0.056737589,0,0,0,0,13,0.092198582,0,0
