CINEPLEX_Item_ID,CINEPLEX_Item_Description,CINEPLEX_Item_Status,EIS_Group_Description,EIS_Sub_Group_Description,Item_Report_Code2,Item_Report_Code3,Item_Class_Description1,Item_Class_Description2,Item_Class_Description3,Is_Item_Package,Is_Box_Office_Item,US_Is_Butter,US_Is_Kiddietray,US_Is_Voucher,US_Is_LrgPopcorn,US_Is_Coffee,US_Is_Candy,US_Is_Alcohol,US_Is_MenuFood
96724,VHO YF - YOGURT LARGE,A,Other,FROZEN,0,0,VHO-YOGEN FRUZ,0,0,0,0,0,0,0,0,0,0,0,0
96725,VHO YF - YOGURT SMALL,A,Other,FROZEN,0,0,VHO-YOGEN FRUZ,0,0,0,0,0,0,0,0,0,0,0,0
97205,VHO LQ - APP - BONELESS WINGS (6),A,Other,OTHER FOOD,670 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
97207,VHO LQ - MAIN - WRAP CHIPOTLE CLUB W/ SIDE,A,Other,OTHER FOOD,710 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
97213,VHO LQ - APP - NACHO VIP,A,Other,NACHO,(GF) (VG) 1940 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
97235,VHO LQ - DRINK HAIL CAESAR (1.5oz),A,Other,ALCOHOL,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
97266,VHO LQ - DRAFT 18oz MILL STREET ORGANIC,A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
97276,VHO LQ - WINE 9oz GLASS WHITE RUFFINO PINOT GRIGIO,A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
97304,VHO LQ - WINE 9oz GLASS RED MARCUS JAMES MALBEC,A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
97326,VHO LQ - BOTTLE WATER BADOIT 750ml,A,Other,Bottled Beverage,0 Cals,0,VHO-DRINK,0,0,0,0,0,0,0,0,0,0,0,0
97349,VHO LQ - MAIN - SALAD CAESAR (MEAL),A,0,0,540 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
97358,VHO LQ - MAIN - S/W PULLED PORK,A,0,0,910 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
97502,VHO LQ - TALL CAN SHOCK TOP,A,Other,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
97504,VHO LQ - TALL CAN STELLA ARTOIS,A,Other,0,0,Y,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
97596,VHO LQ DESS - CHURROS,A,0,0,(VG) 410 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
98030,VHO OT - WRAP CRISPY SWEET THAI,I,Other,OTHER FOOD,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98033,VHO OT - WRAP CRISPY BLAZIN BUFFALO CLUB,I,Other,OTHER FOOD,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98034,VHO OT - CBO WRAP CRISPY BUFFALO CLUB + RG DRINK,I,Other,Combo,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98046,VHO OT - BONELESS WINGS (5),A,Food,Food,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98077,VHO OT - CBO DOG BBQ PULLPORK + RG DRINK,A,Other,Combo,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98143,VHO OT - CBO CALIFORNIA GRILL CHICKEN + RG DRINK,A,0,0,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98144,VHO OT - CBO GRILL CHICKEN SANDWICH + RG DRINK,A,0,0,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98146,VHO OT - WRAP GRILL BLAZIN BUFFALO,I,0,0,0,0,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98804,VHO DRINK - BTL SIMPLY LEMONADE,A,0,0,160 Cals,0,VHO-DRINK,0,0,0,0,0,0,0,0,0,0,0,0
98848,VHO OT - DOG BBQ BACON,A,0,0,0,Y,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
98906,VHO DRINK - VIP DRINK REGULAR 24oz,A,0,0,0-270 Cals,0,VHO-DRINK,0,0,0,0,0,0,0,0,0,0,0,0
98910,VHO LQ - SANGRIA CITRUS (SINGLE),A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
98912,VHO LQ - SANGRIA TROPICAL (SINGLE),A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
98950,VHO COFFEE - (SBC) MACCHIATO CARAMEL 16OZ,A,0,0,0,0,VHO-COFFEE,0,0,0,0,0,0,0,0,1,0,0,0
98951,VHO COFFEE - (SBC) MACCHIATO CARAMEL 12OZ,A,0,0,0,0,VHO-COFFEE,0,0,0,0,0,0,0,0,1,0,0,0
98983,VHO LQ - TALL CAN CIDER SOMERSBY,A,0,0,0,0,VHO-LICENSED DRINKS,0,0,0,0,0,0,0,0,0,0,1,0
99004,"*COMBO 1 - Lrg Corn, Lrg Drink, Lrg Candy",A,Popcorn,Popcorn,0,0,ATM-Conc-Voucher,0,0,0,0,0,0,0,0,0,0,0,0
